SIMBAD_ID,mass_1,mass_68L_1,mass_68U_1,BCK,e_BCK,Teff,eTeff,logg,elogg,Meta,eMeta1,eMeta2,xi,e_xi,f_xi,S,EBV_p50,EBV_p16,EBV_p84,L,eL1,eL2,age,age_68L,age_68U,mass_2,mass_68L_2,mass_68U_2,rad,rad_68L,rad_68U,eTeff1,eTeff2,elogg1,elogg2,rho,erho1,erho2,M,eM1,eM2,R,eR1,eR2,Warning_M,Warning_R,M_ai,R_ai
HATS-27,1.46,1.35,1.57,1.05,0.06,6640,122,4.14,0.11,0.15,0.05,0.12,1.68,0.07,0,Ar,0.0608148027794423,0.0363765256854183,0.0888507085883595,4.71550848374096,4.40642528749216,5.10767465852906,1.487222,0.985893,1.948817,1.437008,1.384051,1.490322,1.622721,1.54148,1.709073,122,122,0.11,0.11,NA,NA,NA,1.40348553721446,0.0475414430031478,0.0475414430031478,1.69229986528374,0.263910013902309,0.263910013902309,NA,NA,1.37686708366642,1.62992420964634
HATS-29,0.99,0.89,1.09,1.59,0.05,5598,113,4.38,0.08,0.2,0.05,0.11,0.47,0.12,0,UVES,0.0511988671596349,0.0330138928536342,0.0690347138366528,1.11157823141833,1.06763817965081,1.15729012083996,7.160169,3.802102,10.542706,1.015601,0.960638,1.070806,1.11147,1.066028,1.160421,113,113,0.08,0.08,NA,NA,NA,1.05408624458407,0.0440282958388583,0.0440282958388583,1.08963093356725,0.12501128742597,0.12501128742597,NA,NA,0.945311037689354,1.05648444940881
HATS-31,1.18,1.07,1.35,1.34,0.06,6046,121,4.06,0.12,-0.02,0.05,0.14,1.26,0.07,0,Ar,0.0494554026948662,0.0303725481005178,0.0764059691241527,3.76736585003894,3.56710362358789,4.01849210860644,4.153671,3.297361,5.590907,1.231324,1.139081,1.319758,1.742495,1.662853,1.826114,121,121,0.12,0.12,NA,NA,NA,1.16136298966615,0.0479218590452094,0.0479218590452094,1.71997040846525,0.291029714802545,0.291029714802545,NA,NA,1.2120391738271,1.72262795637759
HATS-33,1.05,0.95,1.13,1.56,0.04,5666,70,4.47,0.08,0.26,0.02,0.14,0.81,0.16,0,Ar,0.00580002120721027,0.00156357656734301,0.013717105861105,1.00027529052981,0.987693037557097,1.01902384742057,3.619083,1.423741,6.502963,1.048495,0.991247,1.095599,1.038318,1.015291,1.062686,70,70,0.08,0.08,NA,NA,NA,1.09064312237878,0.0316809078617981,0.0316809078617981,0.979921965307088,0.111827667366163,0.111827667366163,NA,NA,0.943699206705816,1.00543337357707
HATS-35,1.27,1.17,1.38,1.23,0.05,6290,111,4.3,0.09,0.19,0.04,0.15,1.31,0.07,0,Ar,0.0839767047047806,0.0643865126166187,0.102741695953016,2.70690534757549,2.58177085562505,2.84211513631402,2.047177,1.032541,3.082622,1.281241,1.220902,1.33608,1.376732,1.324167,1.434674,111,111,0.09,0.09,NA,NA,NA,1.291328297726,0.0448273417189756,0.0448273417189756,1.31491846884161,0.168160105643931,0.168160105643931,NA,NA,1.18302110676779,1.40152272187068
HATS-39,1.42,1.23,1.53,1.09,0.05,6550,106,4.05,0.15,-0.08,0.01,0.12,1.6,0.08,0,Ar,0.0305712045479468,0.012788128235955,0.0490201430116328,4.49838065910086,4.07849461950213,4.97465070590462,2.329731,1.866347,2.784278,1.322802,1.265514,1.378175,1.623711,1.529626,1.724512,106,106,0.15,0.15,NA,NA,NA,1.32240184222097,0.0408892786917231,0.0408892786917231,1.83546363088098,0.390457657963109,0.390457657963109,NA,NA,1.35368368644691,1.62064056950992
HATS-40,1.49,1.31,1.56,1.11,0.06,6484,106,3.91,0.09,-0.11,0.04,0.1,1.79,0.07,0,UVES,0.0364699371796969,0.0166193938698009,0.0563949113908838,8.05507434820582,7.62816510901308,8.5550796386656,2.116809,1.912132,2.815542,1.475265,1.371943,1.530562,2.226598,2.139148,2.315384,106,106,0.09,0.09,NA,NA,NA,1.29310704060982,0.0411565640694953,0.0411565640694953,2.19301911314594,0.278852790902413,0.278852790902413,NA,NA,1.46183890557433,2.20194031704293
HATS-42,1.13,0.99,1.24,1.39,0.06,5974,113,4.28,0.11,0.11,0.04,0.15,0.96,0.07,0,Ar,0.0298142291703366,0.0138867518133898,0.0478473065107746,1.98600043832613,1.90562434980333,2.08395399286399,4.540299,2.845839,6.591004,1.136618,1.063767,1.20204,1.306895,1.251493,1.364712,113,113,0.11,0.11,NA,NA,NA,1.16450372856712,0.0453402181382295,0.0453402181382295,1.28778004789309,0.198974344959776,0.198974344959776,NA,NA,1.06323532203912,1.30784425996287
HATS-43,0.82,0.75,0.95,1.89,0.09,5064,150,4.48,0.12,0.15,0,0.13,1.09,0.15,1,Ar,0.0639087439090811,0.0479801240887653,0.0809819418131993,0.524760762261595,0.507474481224571,0.543210042798965,NA,NA,NA,0.836192,0.78255,0.899483,0.921912,0.879351,0.965364,150,150,0.12,0.12,NA,NA,NA,0.883203733980208,0.0430720279187393,0.0430720279187393,0.889096687142843,0.151066699520123,0.151066699520123,NA,NA,0.841362378731457,0.878640284638006
HATS-45,1.16,1.02,1.3,1.23,0.07,6260,145,4.3,0.11,-0.07,0.07,0.15,1.33,0.07,0,Ar,0.0246574253172353,0.00811115633687057,0.0484849689434905,2.58610241206221,2.47198618947163,2.75063973107963,3.498419,2.092895,5.123853,1.166952,1.090427,1.232241,1.356596,1.287464,1.429902,145,145,0.11,0.11,NA,NA,NA,1.22397794530575,0.0566011860100909,0.0566011860100909,1.26325911234403,0.197674467649495,0.197674467649495,NA,NA,1.17193888295541,1.33644381423073
