ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	Fe/H	e1_Fe/H	e2_Fe/H	Ref	logg	elogg1	elogg2	logg_from_M,R	L	eL1	eL2	L_from_SB	class	type	orbit_a	eOrbit_a	R/a	detached	well_detached	source	mode	database	rho	erho1	erho2
EPIC204550630	1,17	0,04	0,04	1,37	0,03	0,03	6199	65	65	-0,13	0,08	0,08	NA	4,228	0,014	0,014	NA	3,635	0,304111216365601	0,304111216365601	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,10862644107062557	0,008044555140646859	0,008044555140646859
EPIC204624076	1,22	0,05	0,05	1,83	0,04	0,04	6381	71	71	-0,13	0,11	0,11	NA	4,0	0,014	0,014	NA	6,112	0,478281180350465	0,478281180350465	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,047524543310309454	0,0036749643024513636	0,0036749643024513636
EPIC204926239	1,44	0,05	0,05	2,45	0,05	0,05	6225	71	71	0,1	0,08	0,08	NA	3,817	0,012	0,012	NA	6,714	0,596776978402461	0,596776978402461	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,0233762923325141	0,0016453440957245236	0,0016453440957245236
EPIC205917956	1,06	0,11	0,11	2,56	0,12	0,12	5185	71	71	-0,35	0,08	0,08	NA	3,664	0,012	0,012	NA	4,579	0,431715442821083	0,431715442821083	NA	PMS	K	NA	NA	NA	NA	NA	lund16	A	NA	0,01508333441711149	0,0026361054947739663	0,0026361054947739663
EPIC205962429	1,15	0,04	0,04	1,79	0,04	0,04	6082	65	65	-0,24	0,08	0,08	NA	3,99	0,012	0,012	NA	4,372	0,372936224763376	0,372936224763376	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,04786853520489711	0,003615285697512586	0,003615285697512586
EPIC205967173	0,95	0,08	0,08	2,65	0,11	0,11	5016	52	52	-0,3	0,08	0,08	NA	3,572	0,013	0,013	NA	3,603	0,37869252507843	0,37869252507843	NA	PMS	K	NA	NA	NA	NA	NA	lund16	A	NA	0,012187015799939594	0,00183205794494577	0,00183205794494577
EPIC205974115	1,15	0,04	0,04	1,36	0,03	0,03	6121	71	71	-0,07	0,08	0,08	NA	4,23	0,012	0,012	NA	3,386	0,460929317911396	0,460929317911396	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,1091421503033722	0,008159538346359359	0,008159538346359359
EPIC205979004	1,07	0,06	0,06	2,22	0,06	0,06	5588	84	84	-0,35	0,08	0,08	NA	3,777	0,014	0,014	NA	8,324	2,74920060577796	2,74920060577796	NA	PMS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,02334727748772256	0,0023016343831669486	0,0023016343831669486
EPIC205995584	1,31	0,07	0,07	1,71	0,04	0,04	6433	71	71	-0,07	0,08	0,08	NA	4,082	0,013	0,013	NA	4,784	0,38291610691645	0,38291610691645	NA	MS	F	NA	NA	NA	NA	NA	lund16	A	NA	0,06254525322542877	0,005516726634438581	0,005516726634438581
EPIC206009487	1,03	0,05	0,05	1,49	0,04	0,04	5926	71	71	-0,24	0,08	0,08	NA	4,101	0,012	0,012	NA	1,949	0,164977135740432	0,164977135740432	NA	MS	G	NA	NA	NA	NA	NA	lund16	A	NA	0,07433439484011946	0,006990075475284393	0,006990075475284393
