Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
8694	EPIC201885410	1.626	0.207	0.207	13.544	0.551	0.551	4674.0	8.0	8.0	78.9	6.4	6.4	-0.3716	0.008	0.008	2.419	0.025	0.025	0.00065	0.00012	0.00012	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8695	EPIC212513496	0.844	0.14	0.14	10.599	0.557	0.557	4579.0	9.0	9.0	44.5	4.7	4.7	-0.5408	0.0102	0.0102	2.192	0.031	0.031	0.00071	0.00016	0.00016	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8696	EPIC206035736	0.823	0.028	0.028	4.821	0.055	0.055	4940.0	11.0	11.0	12.47	0.31	0.31	-0.7479	0.0083	0.0083	2.904	0.03	0.03	0.00734	0.00035	0.00035	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8697	EPIC220672679	0.995	0.137	0.137	13.615	0.593	0.593	4728.0	10.0	10.0	74.71	6.38	5.83	-0.7417	0.0096	0.0096	2.047	0.032	0.032	0.000394	0.000075	0.000075	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8698	EPIC211726460	2.135	0.274	0.274	22.819	0.962	0.962	4502.0	7.0	7.0	142.4	5.2	5.1	-0.1386	0.0078	0.0078	2.029	0.023	0.023	0.000180	0.000032	0.000032	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8699	EPIC248660699	0.858	0.064	0.064	7.424	0.177	0.177	5068.0	15.0	15.0	32.8	1.6	1.6	-1.5578	0.0104	0.0104	2.686	0.045	0.045	0.00210	0.00022	0.00022	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8700	EPIC220614229	1.08	0.075	0.075	8.571	0.192	0.192	4813.0	9.0	9.0	35.5	1.6	1.6	-0.3472	0.0077	0.0077	2.635	0.025	0.025	0.00172	0.00017	0.00017	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8701	EPIC206013596	1.113	0.066	0.066	5.453	0.104	0.104	4922.0	15.0	15.0	15.72	0.63	0.63	-0.3142	0.0115	0.0115	3.022	0.035	0.035	0.00686	0.00057	0.00057	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8702	EPIC212131001	1.266	0.087	0.087	9.99	0.221	0.221	4689.0	8.0	8.0	43.5	1.9	1.9	-0.0988	0.0074	0.0074	2.513	0.022	0.022	0.00127	0.00012	0.00012	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8703	EPIC248851631	1.046	0.042	0.042	8.685	0.113	0.113	4696.0	8.0	8.0	32.45	1.07	1.12	-0.4135	0.0081	0.0081	2.619	0.026	0.026	0.001597	0.000089	0.000089	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8704	EPIC212327329	1.018	0.133	0.133	11.236	0.469	0.469	4709.0	12.0	12.0	55.9	4.7	4.7	-0.5054	0.0115	0.0115	2.223	0.034	0.034	0.00072	0.00013	0.00013	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8705	EPIC206400223	1.021	0.055	0.055	5.506	0.096	0.096	4749.0	12.0	12.0	13.89	0.50	0.50	-0.2301	0.011	0.011	2.923	0.031	0.031	0.00612	0.00046	0.00046	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8706	EPIC204249505	0.945	0.238	0.238	12.622	1.026	1.026	4629.0	11.0	11.0	66	11	11	-0.771	0.0118	0.0118	2.234	0.037	0.037	0.00047	0.00016	0.00016	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8707	EPIC212440723	1.035	0.08	0.08	6.305	0.155	0.155	4857.0	11.0	11.0	19.93	1.00	1.00	-0.3406	0.0086	0.0086	2.794	0.028	0.028	0.00413	0.00044	0.00044	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8708	EPIC204408216	0.973	0.037	0.037	4.828	0.06	0.06	4870.0	10.0	10.0	11.81	0.31	0.31	-0.4812	0.0079	0.0079	2.977	0.027	0.027	0.00865	0.00046	0.00046	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8709	EPIC204412781	1.693	0.687	0.687	14.151	1.828	1.828	5027.0	52.0	52.0	115	30	30	-0.7772	0.0174	0.0174	2.316	0.099	0.099	0.00060	0.00034	0.00034	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
8710	EPIC246208906	1.222	0.205	0.205	13.392	0.72	0.72	4686.0	8.0	8.0	77.9	8.4	8.4	-0.3708	0.008	0.008	2.251	0.025	0.025	0.00051	0.00012	0.00012	NA	RGB	NA	NA	Schonhut-Stasik24	NA	NA	NA	NA	A
