hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
Kepler-324,<a refstr=JONTOF_HUTTER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161..246J/abstract target=ref>Jontof-Hutter et al. 2021</a>,,5233.0,60.0,-60.0,0.0,0.835,0.023,-0.022,0.0,0.901,0.017,-0.027,0.0,,,,,,,,,,,,,
TrES-1,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5230.0,50.0,-50.0,0.0,0.85,0.05,-0.05,0.0,1.04,0.19,-0.19,0.0,0.02,,,0.0,[Fe/H],,,,,4.57,0.01,-0.01,0.0
Kepler-243,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5228.0,200.0,-200.0,0.0,0.842,0.398,-0.398,0.0,,,,,,,,,,,,,,4.565,0.3,-0.3,0.0
HD 3651,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,,5221.0,,,0.0,,,,,0.799,,,0.0,,,,,,,,,,4.45,,,0.0
K2-65,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,,5213.0,336.0,-336.0,0.0,0.84,0.12,-0.12,0.0,0.87,0.1,-0.1,0.0,,,,,,,,,,4.533,0.08,-0.08,0.0
K2-198,<a refstr=HEDGES_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...880L...5H/abstract target=ref>Hedges et al. 2019</a>,,5212.9,99.0,-49.2,0.0,0.757,0.035,-0.016,0.0,0.799,0.091,-0.045,0.0,,,,,,,,,,,,,
Kepler-352,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5212.0,100.0,-100.0,0.0,0.781,0.053,-0.053,0.0,,,,,,,,,,,,,,4.566,0.15,-0.15,0.0
Kepler-165,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5211.0,200.0,-200.0,0.0,0.77,0.467,-0.467,0.0,,,,,,,,,,,,,,4.542,0.3,-0.3,0.0
Kepler-253,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5208.0,200.0,-200.0,0.0,0.786,0.322,-0.322,0.0,,,,,,,,,,,,,,4.595,0.3,-0.3,0.0
Kepler-185,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5208.0,200.0,-200.0,0.0,0.806,0.46,-0.46,0.0,,,,,,,,,,,,,,4.545,0.3,-0.3,0.0
Kepler-246,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5206.0,200.0,-200.0,0.0,0.831,0.422,-0.422,0.0,,,,,,,,,,,,,,4.557,0.3,-0.3,0.0
WASP-67,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5200.0,100.0,-100.0,0.0,0.88,0.08,-0.08,0.0,0.91,0.28,-0.28,0.0,-0.07,,,0.0,[Fe/H],,,,,4.35,0.15,-0.15,0.0
KMT-2021-BLG-0171L,<a refstr=YANG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.tmp.1872Y/abstract target=ref>Yang et al. 2022</a>,,5200.0,,,0.0,,,,,0.78,0.29,-0.26,0.0,,,,,,,,,,,,,
Kepler-248,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5190.0,161.0,-161.0,0.0,0.831,0.099,-0.099,0.0,,,,,,,,,,,,,,4.573,0.2,-0.2,0.0
Kepler-57,<a refstr=LELEU_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023A&A...669A.117L/abstract target=ref>Leleu et al. 2023</a>,,5187.9,90.8,-90.8,0.0,0.826,0.019,-0.019,0.0,0.859,0.049,-0.049,0.0,,,,,,,,,,,,,
Kepler-137,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,,5187.0,100.0,-100.0,0.0,0.802,0.056,-0.056,0.0,,,,,,,,,,,,,,4.553,0.15,-0.15,0.0
HD 85390,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,,5186.0,,,0.0,,,,,0.758,,,0.0,,,,,,,,,,4.41,,,0.0
HD 2638,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5186.0,8.0,-8.0,0.0,0.94,0.03,-0.03,0.0,0.77,0.09,-0.09,0.0,0.13,,,0.0,[Fe/H],,,,,4.38,0.04,-0.04,0.0
TOI-2048,<a refstr=NEWTON_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..115N/abstract target=ref>Newton et al. 2022</a>,G V,5185.0,60.0,-60.0,0.0,0.79,0.04,-0.04,0.0,0.83,0.03,-0.03,0.0,0.02,0.08,-0.08,0.0,[M/H],-0.38722,0.04043,-0.04458,0.0,,,,
