hostname,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim
Kepler-1449,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5979.0,98.77,-97.37,0.0,1.1,0.233,-0.109,0.0,1.08,0.072,-0.063,0.0,0.04,0.143,-0.169,0.0,[Fe/H],,,,,4.39,0.076,-0.151,0.0
K2-194,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5979.0,52.0,-52.0,0.0,1.281115,0.178851,-0.168355,0.0,1.110086,0.046177,-0.034871,0.0,0.1,0.08,-0.08,0.0,[Fe/H],,,,,4.21,0.1,-0.1,0.0
K2-188,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..277L/abstract target=ref>Livingston et al. 2018</a>,,5977.0,87.0,-87.0,0.0,1.19,0.03,-0.03,0.0,1.06,0.03,-0.03,0.0,-0.01,0.05,-0.05,0.0,[Fe/H],,,,,4.31,0.03,-0.03,0.0
HD 93385,<a refstr=UNGER_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A.104U/abstract target=ref>Unger et al. 2021</a>,G2/G3 V,5977.0,18.0,-18.0,0.0,,,,,1.04,0.01,-0.01,0.0,0.02,0.01,-0.01,0.0,[Fe/H],0.20683,,,0.0,4.42,0.02,-0.02,0.0
Kepler-825,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5976.0,247.56,-202.44,0.0,1.08,0.276,-0.152,0.0,1.03,0.122,-0.083,0.0,-0.08,0.153,-0.194,0.0,[Fe/H],,,,,4.39,0.105,-0.164,0.0
KIC 8121913,<a refstr=LILLO_BOX_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...654A...9L/abstract target=ref>Lillo-Box et al. 2021</a>,,5975.3,110.2,-109.4,0.0,2.233,0.054,-0.056,0.0,1.456,0.069,-0.15,0.0,0.252,0.128,-0.17,0.0,[Fe/H],,,,,3.896,0.032,-0.05,0.0
Kepler-1187,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5975.0,182.7,-129.11,0.0,1.09,0.208,-0.116,0.0,1.06,0.091,-0.069,0.0,-0.01,0.147,-0.171,0.0,[Fe/H],,,,,4.39,0.081,-0.131,0.0
Kepler-1088,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5975.0,64.37,-58.16,0.0,1.08,0.084,-0.061,0.0,1.08,0.03,-0.034,0.0,0.05,0.082,-0.082,0.0,[Fe/H],,,,,4.4,0.047,-0.063,0.0
Kepler-908,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,,5973.0,89.43,-95.84,0.0,1.12,0.079,-0.067,0.0,1.11,0.04,-0.039,0.0,0.15,0.056,-0.063,0.0,[Fe/H],,,,,4.38,0.045,-0.058,0.0
Kepler-1952,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5973.0,120.0,-108.0,0.0,1.305,0.193,-0.266,0.0,0.922,0.074,-0.067,0.0,-0.34,0.15,-0.15,0.0,[Fe/H],,,,,4.171,0.188,-0.101,0.0
