Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
98	HW_CMa B	1.719	0.011	0.011	1.649	0.018	0.018	7560	150	150	7.98	0.71	0.71	0.33	0.1	0.1	4.242	0.01	0.01	0.0915219575163869	0.0030537654727529466	0.0030537654727529466	2.8385362	MS	A		eker14	0.639906922629436	1.09157064887811	1.98412698412698	8.89724310776942	EB
99	IM_Vir A	0.981	0.012	0.012	1.062	0.016	0.016	5570	100	100	0.975	0.082	0.082	-0.1	0.25	0.25	4.379	0.014	0.014	0.1955270499568795	0.009155318361996904	0.009155318361996904	4.1429812	MS	G		eker14	1.22324159021407	1.50659133709981	1.79533213644524	8.41025641025641	EB
100	IM_Vir B	0.664	0.005	0.005	0.681	0.013	0.013	4250	130	130	0.136	0.02	0.02	-0.1	0.25	0.25	4.594	0.017	0.017	0.5019241986941838	0.028991974569743017	0.028991974569743017	5.0082412	PMS	K		eker14	0.753012048192771	1.90895741556535	3.05882352941176	14.7058823529412	EB
101	IQ_Per B	1.733	0.02	0.02	1.509	0.02	0.02	7670	100	100	7.079	0.437	0.437				4.324	0.013	0.013	0.12040436568472891	0.004985029735669402	0.004985029735669402	2.7664312	MS	A		eker14	1.15406809001731	1.32538104705103	1.30378096479791	6.17318830343269	EB
102	IT_Cas A	1.33	0.009	0.009	1.603	0.015	0.015	6470	110	110	4.046	0.309	0.309				4.158	0.009	0.009	0.07708368439537025	0.0022259024153453593	0.0022259024153453593	3.5530312	MS	F		eker14	0.676691729323308	0.935745477230193	1.70015455950541	7.63717251606525	EB
103	IT_Cas B	1.328	0.008	0.008	1.569	0.04	0.04	6470	110	110	3.873	0.364	0.364				4.175	0.02	0.02	0.08208062127080029	0.006297119617648172	0.006297119617648172	3.5530312	MS	F		eker14	0.602409638554217	2.54939451880179	1.70015455950541	9.39839917376711	EB
104	Kepler-34A	1.0479	0.0033	0.003	1.1618	0.0027	0.0031	5913	130	130	1.49	0.13	0.13	-0.07	0.15	0.15	4.3284	0.0021	0.0021	0.15952807131596172	0.0012204171541816834	0.001356205936659709	3.9181447	MS	G	p	welsh12	0.30060120240481	0.249612669994836	2.19854557754101	8.7248322147651	EB
105	Kepler-34B	1.0208	0.0022	0.0022	1.0927	0.0032	0.0027	5867	130	130	1.28	0.11	0.11	-0.07	0.15	0.15	4.3703	0.0022	0.0022	0.18678810788935415	0.0016896957088333934	0.0014419609513346933	3.9482977	MS	G	p	welsh12	0.21551724137931	0.269973460236112	2.2157831941367	8.59375	EB
106	Kepler-35A	0.8876	0.0051	0.0053	1.0284	0.002	0.0019	5606	150	150	0.94	0.1	0.1	-0.34	0.2	0.2	4.3623	0.002	0.002	0.19482401103161928	0.0015953422297377035	0.001587248312375175	4.1193832	MS	G	p	welsh12	0.585849481748535	0.189614935822637	2.67570460221192	10.6382978723404	EB
107	Kepler-35B	0.8094	0.0041	0.0044	0.7861	0.002	0.0022	5202	100	100	0.41	0.03	0.03	-0.34	0.2	0.2	4.5556	0.0016	0.0016	0.3977784049263859	0.003643874511505529	0.003978623961444989	4.3842052	MS	G	p	welsh12	0.525080306399802	0.267141585040071	1.92233756247597	7.31707317073171	EB
108	KIC_6131659 A	0.922	0.007	0.007	0.88	0.003	0.003	5660	140	140	0.713	0.078	0.078	-0.21	0.1	0.1	4.50576557675329	0.0044316972988704	0.0044316972988704	0.32299388132761325	0.004114065636619203	0.004114065636619203	4.0839862	MS	G		eker14	0.759219088937093	0.340909090909091	2.47349823321555	10.9396914446003	EB
109	KIC_6131659 B	0.685	0.005	0.005	0.64	0.006	0.006	4780	105	105	0.192	0.019	0.019	-0.21	0.1	0.1	4.65333062352465	0.0087383011588306	0.0087383011588306	0.6238239441944978	0.01812629905303512	0.01812629905303512	4.6608262	MS	K		eker14	0.72992700729927	0.9375	2.19665271966527	9.89583333333333	EB
110	KW_Hya A	1.978	0.036	0.036	2.125	0.016	0.016	7998	205	205	16.596	1.601	1.601							0.0492108509404988	0.001427518263485177	0.001427518263485177	2.5514272	MS	A		malkov07	1.82002022244692	0.752941176470588	2.5631407851963	9.646902868161	EB
111	KW_Hya B	1.485	0.017	0.017	1.486	0.022	0.022	6900	200	200	4.498	0.607	0.607				4.268	0.01	0.01	0.10803921402531011	0.004955342383639829	0.004955342383639829	3.2711662	MS	F		eker14	1.14478114478114	1.48048452220727	2.89855072463768	13.4948866162739	EB
112	LL_Aqr A	1.223	0.058	0.058	1.325	0.02	0.02	6680	160	160	3.141	0.351	0.351	0.02	0.04	0.04	4.281	0.009	0.009	0.1255134343016937	0.00823010483269167	0.00823010483269167	3.4153762	MS	F		eker14	4.74243663123467	1.50943396226415	2.39520958083832	11.1747851002865	EB
113	LL_Aqr B	1.055	0.051	0.051	1.005	0.016	0.016	6200	160	160	1.34	0.163	0.163	0.02	0.04	0.04	4.457	0.01	0.01	0.24812222390231903	0.016861372766138704	0.016861372766138704	3.7300162	MS	F		eker14	4.83412322274881	1.59203980099503	2.58064516129032	12.1641791044776	EB
114	LV_Her A	1.192	0.01	0.01	1.358	0.012	0.012	6060	150	150	2.234	0.25	0.25	0.08	0.21	0.21	4.249	0.008	0.008	0.11362877802781007	0.00315948728808487	0.00315948728808487	3.8217862	MS	F		eker14	0.838926174496644	0.883652430044183	2.47524752475248	11.1906893464637	EB
