Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
5679.0,4.435,0.01,0.8929970002260261,49.5,0.035,0.1,0.014874703014889523
5678.0,4.356,0.217,1.132009313541981,16.0,0.013,0.049,0.014901726507816404
5670.0,4.422,0.18,0.9900109542601704,91.0,0.053,0.064,0.14887138544872225
5670.0,4.389,0.16,1.0699906927079144,110.0,0.027,0.08,0.12296445554072655
5666.0,4.47,-0.27,0.7499978182030022,61.0,0.03,0.04,0.04843579459925773
5665.0,4.25,0.3,1.4460056836707478,115.0,0.27,0.11,0.03556436853415401
5664.0,4.39,-0.24,1.0380063253450658,61.0,0.11,0.05,0.05740931657441317
5660.0,4.49,-0.28,0.7079946892355253,61.0,0.11,0.04,0.045532552543770255
5659.0,4.42,-0.12,0.8912509381337456,48.0,0.04,0.013,0.11500382150505384
5659.0,4.445,0.29,0.9599972743924812,85.0,0.036,0.05,0.11332865052294466
5651.0,4.371,0.3,1.1249934658505205,80.0,0.0235,0.05,0.05057382137631805
5650.0,4.4,-0.19,0.6249999750398698,75.0,0.1,0.08,0.058851311536364304
5649.0,4.445,-0.018,0.8480080988896919,73.0,0.0245,0.058499999999999996,0.045212440281799604
5645.0,3.993,0.148,2.89001435534947,50.0,0.0275,0.0795,0.17913604651084802
5643.77,4.35958,0.415,1.0951156868394152,110.95,0.0736265,0.02,0.03801723825943959
5640.0,4.364,0.143,1.0780030758042878,35.5,0.03,0.077,0.028653089842979318
5640.0,4.393,0.165,1.0199995965937203,110.0,0.0455,0.0835,0.0457078444031353
5640.0,4.41,0.25,1.026006235060247,85.5,0.0295,0.085,0.06810918966535734
5638.0,4.4,-0.29,0.7998342550070284,168.0,0.15,0.15,0.23661192534660214
5636.0,4.142,0.148,1.865004997975156,83.0,0.024,0.0595,0.10853730459030098
5635.0,4.41,0.136,0.3599979270433567,62.0,0.03,0.044,0.009863325550943047
5634.0,4.42,0.14,0.9900109542601704,31.0,0.04,0.05,0.039219772633557526
5631.0,4.184,0.035,1.5749979759188242,76.0,0.0225,0.056499999999999995,0.08549962782279652
5631.0,3.94,0.22,3.2799709705763207,21.0,0.03,0.02,0.039747217203012664
5629.0,4.312,0.414,1.2319979920447468,48.0,0.015,0.09,0.05190783269835453
