Teff,logg,Meta,L,eTeff,elogg,eMeta,eL
5883.0,4.51,0.06,0.9772372209558107,,,,
5882.0,4.07,0.2,,10.0,0.02,,
5879.0,,,,141.0,,,
5879.0,4.21,0.18,,16.0,0.03,,
5878.3,,0.135,,19.3,,0.018,
5877.0,4.017,,,112.0,0.16,,
5874.0,,,,119.0,,,
5874.0,4.36,-0.06,,10.0,0.02,,
5870.0,4.45,0.11,,9.0,0.02,,
5868.0,,-0.12,,60.0,,0.05,
5867.0,4.264,,,100.0,0.15,,
5867.0,4.36,0.05,,25.0,0.04,,
5860.0,4.127,,2.69773943244492,80.0,0.023,,0.3426339602844153
5859.0,,,,102.0,,,
5859.0,,0.2,1.318256738556407,,,,0.1433591836168775
5856.0,,0.29,2.2387211385683394,,,,0.24345882359945992
5854.0,4.401,,,200.0,0.3,,
5854.0,3.895,,,92.0,0.076,,
5854.0,,0.321,,61.0,,0.065,
5853.19,4.35826,0.2537,1.3470384734332372,19.54,,0.0183,
5852.0,4.531,,,200.0,0.3,,
5852.0,4.182,,,100.0,0.15,,
5850.0,4.43,-0.15,,50.0,0.02,,
5850.0,,-0.14,,88.5,,0.185,
5848.0,4.202,,,168.0,0.17,,
5847.0,,0.11,,75.0,,0.06,
5847.0,4.5,,,250.0,0.3,,
5847.0,4.495,,,200.0,0.3,,
5844.0,4.46,0.1,,21.0,0.19,,
5842.0,4.3,0.29,,28.0,0.03,,
5841.0,4.541,,,200.0,0.3,,
5838.0,4.0962,,2.4143487297141513,122.0,,,
5835.0,4.326,,,118.0,0.15,,
5834.0,4.44433,,,,,,
5830.0,4.36,0.14,,140.0,0.07,,
5828.0,4.385,,,100.0,0.15,,
5828.0,,,,100.0,,,
5826.0,4.567,,,200.0,0.3,,
5824.0,,0.24,1.5488166189124815,,,,0.19985373632082792
5821.0,4.358,,,100.0,0.15,,
5818.0,4.536,,,250.0,0.3,,
5816.0,4.436,,,200.0,0.3,,
5815.0,4.525,,,200.0,0.3,,
5812.0,4.269,,,100.0,0.16,,
5807.0,4.184,,,100.0,0.15,,
5806.0,,-0.01,,195.0,,0.195,
5806.0,4.402,,,200.0,0.3,,
5804.0,4.504,,,200.0,0.3,,
5802.0,4.26,0.19,,15.0,0.05,,
5801.0,4.51,-0.03,,41.0,0.08,,
5800.0,4.27,-0.45,,150.0,0.09,,
5800.0,,,,,,,
5800.0,,,,50.0,,,
5797.0,4.521,,,200.0,0.3,,
5797.0,4.446,0.314,,,,,
5796.0,4.377,,,108.0,0.15,,
5790.0,4.262,,,100.0,0.15,,
5790.0,4.38,0.01,,14.0,0.02,,
5790.0,,,,44.0,,,
5788.0,4.639,,,200.0,0.3,,
5788.0,4.51,,,200.0,0.3,,
5787.0,4.562,,,200.0,0.3,,
5786.0,4.157,,,100.0,0.15,,
5781.0,4.44616,0.26,1.0271644970160336,85.0,,0.1,
5780.0,4.44,,,27.0,0.05,,
5777.0,,,,125.0,,,
5776.0,4.524,,,200.0,0.3,,
5775.0,,-0.46,,70.0,,0.05,
5774.0,4.353,,,154.0,0.15,,
5774.0,4.451,,,200.0,0.3,,
5773.0,4.2,0.28,,,0.1,0.03,
5770.0,,0.29,,83.0,,0.1,
5769.0,4.38,-0.55,,14.0,0.05,,
5766.0,4.5,0.3,,,0.1,0.1,
5766.0,4.5,-0.15,,99.0,0.08,,
5764.0,4.311,,,100.0,0.15,,
5759.0,,,,187.0,,,
5758.0,4.198,,2.039999213554899,58.0,0.088,,0.48349092784089864
5757.0,4.14,0.13,,9.0,0.02,,
5756.4,,0.1064,,67.99,,0.0655,
5754.0,4.60756,,0.688525453586339,123.0,,,
5754.0,4.08,0.27,,54.0,0.05,,
5752.0,4.411,,,200.0,0.3,,
5751.0,4.194,,,100.0,0.15,,
5751.0,4.18,0.05,,21.0,0.02,,
5750.0,4.51,0.02,,75.0,0.02,,
5750.0,4.5,-0.05,,100.0,0.15,,
5750.0,4.36,0.06,,8.0,0.01,,
5748.0,,0.18,1.0715193052376064,,,,0.07151930523760641
5748.0,,0.36,1.1561122421920988,70.0,,0.03,0.15611224219209885
5746.0,4.325,,,100.0,0.15,,
5746.0,4.445,0.289,,,,,
5744.0,4.537,,,200.0,0.3,,
5743.0,4.27,0.25,,23.0,0.04,,
5740.0,4.302,,,100.0,0.15,,
5740.0,4.286,,,107.0,0.15,,
5739.0,4.364,,,164.0,0.15,,
5736.0,4.186,,,100.0,0.15,,
5736.0,4.09,-0.62,,37.0,0.08,,
5736.0,4.31,0.28,,17.0,0.02,,
5735.81,,0.3698,,24.04,,0.0224,
5733.0,3.99,,,,,,
5731.0,4.343,,,200.0,0.3,,
5727.0,4.127,,,100.0,0.15,,
5726.0,,0.14,0.7762471166286917,,,,0.0844161457097552
5725.0,4.57,,,45.0,0.06,,
5723.0,4.531,,,200.0,0.3,,
5720.0,,0.12,0.810009290312449,60.0,,0.02,0.029460412618670273
5720.0,,,,84.0,,,
5714.96,4.28866,0.0775,1.382770163333203,119.69,,0.0123,
5712.0,4.28968,,1.3767021796269399,122.0,,,
5712.0,,,,106.0,,,
5711.0,4.105,,,74.0,0.1,,
5705.0,,0.235,,66.0,,0.07,
5702.0,,0.092,,100.0,,0.07,
5701.0,3.99,-0.18,,44.0,0.03,,
5700.0,4.5,-0.02,,100.0,0.1,,
5700.0,4.49,0.01,,150.0,0.04,,
5700.0,,,,131.0,,,
5698.0,,-0.54,,63.5,,0.13,
5696.0,4.31,,,100.0,0.15,,
5690.0,,,,123.0,,,
5687.0,,0.32,,49.0,,0.08,
5686.0,4.39,-0.35,,16.0,0.05,,
5684.0,4.004,,,175.0,0.25,,
5679.0,4.445,,,57.0,0.1,,
5678.0,4.454,,,100.0,0.15,,
5676.0,4.334,,,200.0,0.3,,
5676.0,,,,59.5,,,
5675.0,,,1.750007862882902,75.0,,,0.08779981518851698
5672.0,,0.0,,63.0,,0.07,
5671.0,3.84,-0.48,,16.0,0.03,,
5671.0,3.72,,,,,,
5670.0,4.5,,,,,,
5666.0,4.39,,,146.0,0.15,,
5663.0,4.366,,,60.5,0.015,,
5657.0,4.36,0.24,,9.0,0.02,,
5655.0,4.29,0.28,,16.0,0.02,,
5654.0,4.543,,,200.0,0.3,,
5652.0,4.481,,,154.0,0.089,,
5652.0,,0.17,1.1748975549395295,,,,0.7383817226993635
5649.18,,-0.1651,,124.08,,0.0124,
5646.0,,0.24,2.3988329190194904,,,,0.26087082951725815
5644.0,4.438,,,117.0,0.15,,
5644.0,4.16,0.31,,33.0,0.07,,
5644.0,4.34,,1.1099923866362844,94.0,0.019,,0.10504049400558646
5643.0,4.556,,,200.0,0.3,,
5642.0,4.566,,,200.0,0.3,,
5640.0,4.45,0.23,,100.0,0.08,,
5635.0,,,,90.5,,,
5631.0,4.41846,,0.9476544362333519,120.61,0.077206,,0.024563442970054694
5631.0,4.586,,,200.0,0.3,,
5630.0,,0.35,,60.0,,0.04,
5630.0,4.57,-0.26,,,,,
5626.0,4.514,,,200.0,0.3,,
5625.0,,,,120.0,,,
5622.0,4.478,,,268.0,0.096,,
5622.0,4.34,0.36,,17.0,0.02,,
5620.0,,,,40.0,,,
5619.12,4.58277,-0.048,0.637235555635147,224.88,,0.211,
5619.0,4.468,,,100.0,0.15,,
5617.0,4.394,,,112.0,0.15,,
5615.0,4.58,,,200.0,0.3,,
5612.0,4.44,,,,,,
5605.0,,,,189.5,,,
5605.0,3.82,-0.2,,,,,
5603.0,4.444,,,200.0,0.3,,
5603.0,3.64,,,,,,
5602.0,4.459,,,155.0,0.15,,
5602.0,4.44,0.32,,21.0,0.04,,
5601.0,4.12,0.22,,24.0,0.05,,
5600.0,4.5,0.17,,80.0,0.1,,
5600.0,4.5,0.12,,100.0,,,
5600.0,4.5,-0.23,,150.0,0.1,,
5600.0,4.489,-0.3,,,0.014,,
5600.0,,0.12,,150.0,,0.15,
5600.0,4.401,,,200.0,0.3,,
5600.0,4.44,0.26,,37.0,0.03,,
5600.0,,,,120.0,,,
5599.0,,0.33,,150.0,,0.13,
